lon,lat,value,qc_reason
120.18,23.2,25.1,
120.21,23.2,24.9,
120.24,23.2,24.8,
120.27,23.2,24.5,
120.3,23.2,24.5,
120.33,23.2,23.6,
120.36,23.2,23.9,
120.39,23.2,23.5,
120.42,23.2,22.5,
120.45,23.2,16.9,
120.48,23.2,22.3,
120.51,23.2,20.7,
120.54,23.2,20.0,
120.57,23.2,18.8,
120.6,23.2,14.5,
120.63,23.2,14.8,
120.66,23.2,20.5,
120.69,23.2,16.0,
120.72,23.2,16.7,
120.75,23.2,13.7,
120.78,23.2,4.1,
120.81,23.2,9.4,
120.84,23.2,17.5,
120.87,23.2,18.1,
120.9,23.2,16.1,
120.93,23.2,11.1,
120.96,23.2,10.3,
120.99,23.2,13.8,
121.02,23.2,6.2,
121.05,23.2,13.9,
121.08,23.2,17.0,
121.11,23.2,21.1,
121.14,23.2,24.5,
121.17,23.2,23.7,
121.2,23.2,17.7,
121.23,23.2,17.0,
121.26,23.2,25.4,
120.0,23.23,25.4,
120.03,23.23,25.4,
120.06,23.23,25.5,
120.09,23.23,25.3,
120.12,23.23,25.2,
120.15,23.23,25.1,
120.18,23.23,25.0,
120.21,23.23,24.9,
120.24,23.23,24.8,
120.27,23.23,23.8,
120.3,23.23,24.4,
120.33,23.23,24.3,
120.36,23.23,20.8,
120.39,23.23,22.1,
120.42,23.23,22.7,
120.45,23.23,21.4,
120.48,23.23,18.6,
120.51,23.23,21.6,
120.54,23.23,17.6,
120.57,23.23,21.3,
120.6,23.23,13.8,
120.63,23.23,10.3,
120.66,23.23,17.1,
120.69,23.23,20.8,
120.72,23.23,19.2,
120.75,23.23,9.2,
120.78,23.23,1.1,
120.81,23.23,5.6,
120.84,23.23,14.4,
120.87,23.23,15.5,
120.9,23.23,10.8,
120.93,23.23,8.8,
120.96,23.23,2.5,
120.99,23.23,9.3,
121.02,23.23,8.6,
121.05,23.23,13.4,
121.08,23.23,12.7,
121.11,23.23,19.5,
121.14,23.23,24.6,
121.17,23.23,24.7,
121.2,23.23,19.4,
121.23,23.23,19.2,
121.26,23.23,25.1,
121.29,23.23,26.4,
120.0,23.26,25.4,
120.03,23.26,25.4,
120.06,23.26,25.3,
120.09,23.26,25.3,
120.12,23.26,25.2,
120.15,23.26,25.1,
120.18,23.26,25.1,
120.21,23.26,25.0,
120.24,23.26,24.3,
120.27,23.26,24.8,
120.3,23.26,23.7,
120.33,23.26,24.5,
120.36,23.26,23.1,
120.39,23.26,19.5,
120.42,23.26,21.0,
120.45,23.26,22.5,
120.48,23.26,22.7,
120.51,23.26,21.1,
120.54,23.26,17.6,
