lon,lat,value,qc_reason,y_pred_oof,residual_oof
120.6,22.72,19.9,,20.25827107730583,-0.3582710773058331
120.63,22.72,15.1,,14.929939204223983,0.17006079577601696
120.66,22.72,17.4,,14.87895724038064,2.521042759619359
120.69,22.72,18.6,,14.946939088053204,3.653060911946797
120.72,22.72,13.6,,14.743927335441414,-1.1439273354414148
120.75,22.72,11.6,,16.94400249493618,-5.344002494936179
120.78,22.72,11.6,,17.140540316685527,-5.540540316685528
120.81,22.72,20.1,,17.123180654644827,2.9768193453551746
120.84,22.72,22.9,,18.87529092108096,4.024709078919038
120.87,22.72,23.6,,21.85086952464443,1.749130475355571
120.9,22.72,24.4,,24.321202192974347,0.07879780702565142
120.93,22.72,26.7,,25.889031632527352,0.8109683674726469
120.96,22.72,26.5,,25.894738551614864,0.6052614483851357
120.99,22.72,26.6,,25.948458644238578,0.6515413557614238
120.15,22.75,25.2,,25.053805598895536,0.1461944011044629
120.18,22.75,25.3,,25.070612363617514,0.22938763638248716
120.21,22.75,25.2,,25.09007913331995,0.1099208666800493
120.24,22.75,25.2,,25.01682158087142,0.18317841912858057
120.27,22.75,25.1,,25.090801320995713,0.009198679004288834
120.3,22.75,24.2,,25.09120570739341,-0.8912057073934108
120.33,22.75,25.1,,25.09167843921882,0.008321560781180182
120.36,22.75,24.7,,25.09223077072597,-0.3922307707259698
120.39,22.75,25.2,,25.092889512528107,0.10711048747189267
120.42,22.75,25.2,,24.755714518697275,0.4442854813027246
120.45,22.75,25.2,,24.78589665595945,0.41410334404054794
120.48,22.75,25.2,,25.215134085921093,-0.015134085921093998
120.51,22.75,25.2,,25.214751506736516,-0.014751506736516262
120.54,22.75,23.6,,25.240799198902767,-1.6407991989027657
120.57,22.75,24.3,,25.242210911480104,-0.9422109114801032
120.6,22.75,24.3,,19.741117390866318,4.558882609133683
120.63,22.75,23.8,,13.085361041623257,10.714638958376744
120.66,22.75,22.7,,13.051008801798359,9.64899119820164
120.69,22.75,20.4,,13.291429719063993,7.108570280936005
120.72,22.75,18.1,,13.219159219315559,4.8808407806844425
120.75,22.75,13.9,,16.840343668125193,-2.940343668125193
120.78,22.75,9.5,,16.733216241777455,-7.2332162417774555
120.81,22.75,16.4,,16.317484239745443,0.0825157602545552
120.84,22.75,21.0,,19.01548593493696,1.9845140650630384
120.87,22.75,23.2,,22.692988233754033,0.5070117662459666
120.9,22.75,24.7,,25.80610383417693,-1.1061038341769311
